x,y,z
0.57457,2.98777,12.7938
-0.0383047,3.33251,12.6405
-0.421352,3.60064,13.7897
0.57457,3.40912,15.8964
2.71963,3.71555,19.3439
5.43926,4.78809,21.5655
7.23959,4.97961,23.7106
6.85654,5.63079,25.1279
6.43519,5.01791,26.0472
6.16705,4.82639,27.8475
6.39688,4.17521,30.3373
6.39688,3.90708,31.7163
7.08637,3.79216,32.5207
8.46534,4.48165,31.678
8.08229,4.71148,30.2224
6.66501,4.63487,27.8858
5.24774,4.48165,24.898
4.25182,4.29012,22.6764
4.29012,4.67317,20.6462
3.17929,4.32843,19.0374
2.10676,3.56234,17.85
1.72371,3.56234,16.471
1.30236,3.21759,15.2453
1.87693,3.48573,14.326
1.87693,3.67725,13.4833
1.41727,3.17929,12.947
0.344742,2.68133,12.449
0.114914,2.33659,10.2657
-0.153219,2.56641,8.54194
-0.421352,2.37489,6.62671
-0.421352,1.72371,6.24366
-0.919312,1.07253,5.59248
-0.842703,0.689484,4.17521
-0.383047,0.344742,2.56641
-0.114914,-0.114914,0.306437
-0.344742,-0.727789,-2.98777
-0.57457,-1.30236,-5.93723
-0.57457,-1.80032,-8.04398
-0.191523,-2.14506,-8.61855
0.191523,-2.91116,-8.27381
2.87285,-3.21759,-9.19312
2.64302,-3.2942,-10.7253
2.03015,-3.33251,-11.8361
1.6471,-3.48573,-11.7978
1.37897,-3.37081,-11.0701
1.18745,-3.60064,-9.26973
0.919312,-4.0986,-6.85654
1.07253,-3.56234,-4.29012
1.53219,-2.83455,-3.2559
1.6088,-2.71963,-2.10676
1.6471,-2.03015,-1.83862
1.6088,-0.957617,-2.18337
1.22575,-0.0383047,-1.6088
1.53219,0.153219,0.497961
1.53219,0.114914,3.06437
1.45558,0.153219,5.28605
1.41727,0.957617,6.77993
0.881008,1.95354,7.92907
0.153219,1.91523,9.46126
-0.229828,1.72371,10.1124
-0.689484,1.53219,10.9934
-0.842703,1.76202,11.4148
0.114914,2.06845,11.185
0.842703,3.2559,12.7555
0.957617,2.79624,13.5599
1.49388,3.52403,13.9046
0.957617,3.06437,15.1303
2.18337,3.40912,16.5859
2.75794,3.56234,17.85
4.02199,4.21351,19.114
4.55826,4.74978,19.9567
4.71148,4.97961,21.1825
5.28605,5.17113,23.0977
5.36266,4.9413,24.898
5.13283,4.9413,26.5068
5.97553,5.13283,28.4604
7.23959,5.66909,29.9543
7.73755,5.93723,31.4481
7.3545,6.12875,31.6014
6.62671,6.62671,30.2224
5.05622,6.39688,28.8817
3.56234,5.97553,26.5068
2.25998,6.12875,23.2126
2.18337,6.58841,20.6845
1.22575,6.66501,18.3479
0.497961,6.39688,16.7008
0.497961,5.89892,15.59
-0.0766094,5.24774,14.6324
-0.383047,4.78809,12.6788
-0.727789,4.36673,11.7978
-0.497961,4.51995,9.38465
-0.459656,3.86877,8.1589
-0.0383047,4.13691,5.40096
1.53219,4.40504,3.02607
1.68541,4.40504,1.57049
1.53219,3.52403,1.41727
0.727789,2.10676,1.07253
-0.268133,0.612875,0.383047
-0.957617,-0.727789,-0.804398
-2.29828,-1.76202,-3.14098
-2.91116,-2.91116,-5.24774
-2.87285,-3.63894,-6.28197
-2.37489,-4.48165,-7.04806
-1.14914,-4.97961,-8.04398
-0.804398,-5.28605,-9.0016
0.0766094,-4.9413,-9.99752
1.11084,-4.59656,-10.4955
1.91523,-4.51995,-10.5338
1.80032,-4.78809,-9.69109
1.49388,-4.86469,-8.54194
1.41727,-4.71148,-8.46534
1.11084,-4.02199,-7.62263
0.727789,-3.40912,-6.5501
0.114914,-2.71963,-5.82231
-0.344742,-2.14506,-5.05622
-0.344742,-1.53219,-3.60064
0.421352,-0.689484,-1.91523
1.6088,-0.0766094,-0.114914
1.6471,0.766094,1.83862
0.497961,1.49388,3.37081
-0.421352,1.99184,3.83047
-1.30236,2.41319,3.83047
-1.45558,2.4515,5.28605
-2.41319,3.02607,7.58433
-1.91523,3.56234,11.2999
1.26405,5.55418,14.6324
3.14098,5.86062,18.1181
2.79624,5.40096,20.7228
2.29828,4.55826,21.8337
1.72371,4.40504,21.5272
2.22167,4.51995,21.4506
4.48165,6.01384,21.0676
6.85654,7.85246,19.6886
10.0741,8.84838,20.5696
10.8402,9.72939,21.7188
13.3683,10.4189,22.4082
13.0619,10.1507,23.4042
11.2233,9.72939,22.7913
9.26973,9.19312,21.1059
7.04806,8.50364,20.4164
6.5501,8.23551,19.2673
6.16705,8.00568,18.6161
5.13283,7.77585,18.1947
5.20944,7.66094,17.5818
3.37081,6.62671,17.5818
2.18337,5.82231,16.9307
0.766094,4.86469,15.8198
0.383047,4.48165,14.4792
-0.153219,4.29012,12.8704
0.612875,4.0603,12.6788
0.766094,3.75386,12.4107
0.536266,3.21759,12.1426
0,2.29828,12.2958
-3.63894,0.995922,11.8745
-7.00976,-0.153219,10.5338
-8.81008,-1.76202,10.2657
-10.2273,-4.0986,11.2999
-11.5297,-5.28605,11.3765
-12.8704,-5.55418,10.0358
-13.4833,-5.93723,8.88668
-12.8321,-6.32027,7.92907
-13.1768,-7.00976,7.62263
-13.2534,-7.12467,7.3928
-13.1385,-6.85654,6.66501
-12.449,-6.39688,5.82231
-12.6405,-5.20944,3.94538
-13.2917,-5.01791,3.52403
-12.9087,-4.82639,3.10268
-13.0236,-4.0986,2.4898
-11.4148,-2.71963,1.34066
-9.99752,-1.57049,0.114914
-8.84838,-1.22575,-1.07253
-7.89076,-0.766094,-1.76202
-7.46941,-0.459656,-2.56641
-6.47349,-0.612875,-2.33659
-6.47349,-0.766094,-2.71963
-6.85654,-0.919312,-2.4515
-6.32027,-0.268133,-1.49388
-5.17113,0.383047,-0.0766094
-3.90708,1.14914,1.26405
-3.2559,1.30236,2.29828
-2.91116,2.22167,2.4898
-1.14914,3.02607,2.29828
1.53219,2.91116,4.67317
3.83047,3.02607,6.85654
4.32843,3.10268,7.23959
5.47757,4.55826,5.93723
7.31619,6.16705,6.58841
9.07821,6.28197,9.806
9.92091,5.40096,13.5599
9.8443,4.59656,15.3985
9.03991,4.0986,13.828
